Телефон_new,ЧислоЗаказов,ОбщаяСуммаПокупок,ОбщееКоличествоТоваров,СреднийЧек,СрКолТоваров_вЧеке,G2_ДЕТСКОЕ ПИТАНИЕ,G2_ИГРУШКИ,"G2_КАНЦТОВАРЫ, КНИГИ, ДИСКИ",G2_КОСМЕТИКА/ГИГИЕНА,G2_КРУПНОГАБАРИТНЫЙ ТОВАР,G2_ОБУВЬ,G2_ПОДГУЗНИКИ,G2_СОПУТСТВУЮЩИЕ ТОВАРЫ,"G2_ТЕКСТИЛЬ, ТРИКОТАЖ",G2_ТОВАРЫ ДЛЯ КОРМЛЕНИЯ,K9_Кластер,K10_Кластер,K11_Кластер,G8_Кластер,G9_Кластер,G10_Кластер,G11_Кластер
55574849-51554851495074,1,3285.0,3,3285.0,3.0,0,0,0,0,0,0,1,0,0,0,5,8,1,1,3,8,5
55574849-52525752485779,2,2679.0,11,1339.5,5.5,0,6,5,0,0,0,0,0,0,0,3,3,6,4,8,3,4
55574849-52535153524975,1,7400.0,1,7400.0,1.0,0,0,0,0,1,0,0,0,0,0,7,2,4,7,7,6,7
55574849-52535257525074,1,804.0,6,804.0,6.0,0,2,4,0,0,0,0,0,0,0,8,9,0,1,1,4,1
55574849-53494854555473,1,2837.0,3,2837.0,3.0,0,0,0,0,0,3,0,0,0,0,2,8,1,6,6,1,6
55574849-53494955515573,1,3279.0,1,3279.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-53495456495079,2,2137.0,3,1068.5,1.5,0,2,0,0,0,0,0,0,0,0,1,0,8,5,5,0,10
55574849-53505450505072,1,1069.0,1,1069.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-53514955555376,1,3600.0,2,3600.0,2.0,0,0,0,0,0,2,0,0,0,0,2,8,1,6,6,1,6
55574849-53544948574975,1,2090.0,1,2090.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574849-53555256515276,1,1427.0,6,1427.0,6.0,0,6,0,0,0,0,0,0,0,0,3,3,6,1,1,6,1
55574849-53555653565673,1,1399.0,1,1399.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,8,1,1,6,1
55574849-53575748484971,1,255.0,3,255.0,3.0,0,0,0,1,0,0,0,0,0,0,2,8,1,6,6,8,5
55574849-55485154555779,1,1897.0,1,1897.0,1.0,0,0,0,0,1,0,0,0,0,0,2,8,4,7,7,6,7
55574849-55485155515675,1,287.0,1,287.0,1.0,0,0,1,0,0,0,0,0,0,0,2,8,1,1,1,4,1
